escopo,modelo_previsao,MAE,RMSE,WAPE_pct,viés,MAPE_pct_positivos,observacoes,caixas_reais
HB 618,mediana_dia_semana,32.16408363921466,63.16160680895175,30.055561432656418,496.9299709847727,55.647207949990666,108,11557.664763037379
HB 618,media_dia_semana,34.15375733454595,61.69114170621859,31.914801716065597,1062.1915116038733,70.57209813790351,108,11557.664763037379
HB 618,media_exponencial,34.1642143530731,63.4333489248864,31.92457322288888,1294.8519251007942,67.88633962093972,108,11557.664763037379
HB 618,tendencia_dia_semana,43.57456245673675,86.38752106460515,40.71802428789956,1712.8908314006146,89.30566704272094,108,11557.664763037379
HB 618,ultima_semana,45.4196212270019,89.27419795800368,42.44212990329957,694.6638185032409,90.31267051884653,108,11557.664763037379
HB 623,mediana_dia_semana,754.518427864845,6713.557566982055,92.15328310176346,-77388.29300593816,119.48331512860382,126,103164.33523696261
HB 623,media_dia_semana,804.1114222371884,6747.084307153411,98.21033496621092,-66718.06385592622,131.3436446049486,126,103164.33523696261
HB 623,media_exponencial,868.0900034146468,6809.175717686157,106.02437381000652,-58395.4074091027,169.6709810585808,126,103164.33523696261
HB 623,tendencia_dia_semana,1106.6328202454445,7602.64134859246,135.15885604327315,-41027.43770493406,274.4167174450781,126,103164.33523696261
HB 623,ultima_semana,1417.894006670273,9524.430704802598,173.17481320467468,-1306.6638185032498,403.3447201405233,126,103164.33523696261
IFCO 6416,mediana_dia_semana,91.68055555555556,175.11918560416694,57.73132761938079,-2428.0,106.81535864195104,72,11434.0
IFCO 6416,tendencia_dia_semana,97.28224206349205,238.17182045909482,61.25871461055997,103.46428571428532,108.32091160034365,72,11434.0
IFCO 6416,media_exponencial,97.50841180494564,179.58476174671975,61.401133898513955,225.66639713656843,114.31336534425385,72,11434.0
IFCO 6416,media_dia_semana,103.86199633699634,176.5984376977112,65.40199174622823,-354.6494505494508,142.63523887934258,72,11434.0
IFCO 6416,ultima_semana,110.84722222222223,243.05672063212828,69.80059471750918,-145.0,130.91419657542195,72,11434.0
IFCO 6420,ultima_semana,0.5555555555555556,1.4529663145135578,43.47826086956522,-10.0,52.5,18,23.0
IFCO 6420,tendencia_dia_semana,0.8075396825396827,1.993558930878231,63.198757763975166,-14.535714285714288,69.70238095238096,18,23.0
IFCO 6420,media_exponencial,1.129622673286169,2.8186031614034315,88.40525269196105,-20.333208119151042,90.43854983042813,18,23.0
IFCO 6420,media_dia_semana,1.2097883597883596,3.0444032719794043,94.67908902691512,-21.776190476190475,95.62301587301589,18,23.0
IFCO 6420,mediana_dia_semana,1.2777777777777777,3.24037034920393,100.0,-23.0,100.0,18,23.0
IFCO 6424,mediana_dia_semana,181.68827160493828,404.05579426181134,103.74502132459202,-9343.5,351.97783546477825,162,28371.0
IFCO 6424,tendencia_dia_semana,192.07619047619048,424.5278949147989,109.67658121723892,1825.304761904759,498.941705895587,162,28371.0
IFCO 6424,media_exponencial,200.07411343645077,381.20987051813745,114.2434400504213,2427.1133386032225,473.3270228453425,162,28371.0
IFCO 6424,media_dia_semana,202.56643075717153,375.3047801086657,115.66656720828236,2590.4818070818073,480.54216614428185,162,28371.0
IFCO 6424,ultima_semana,226.3827160493827,518.7958755559138,129.26579958408234,2270.0,903.2921817327253,162,28371.0
geral,mediana_dia_semana,276.9558496790239,3427.119241342597,87.09190743707903,-88685.86303495339,170.36414962364046,486,154550.0
geral,media_dia_semana,299.0169685255522,3443.0676552316972,94.02927641761137,-63441.8161782662,222.67195647533921,486,154550.0
geral,media_exponencial,313.83131854970713,3474.857629901984,98.68781676813826,-54468.10895638123,222.51950892290054,486,154550.0
geral,tendencia_dia_semana,375.05553106225005,3880.1240329098123,117.9404646368512,-37400.3135402001,257.71561776708455,486,154550.0
geral,ultima_semana,469.5986912201042,4859.926580309491,147.6706334085866,1502.9999999999945,412.765065657562,486,154550.0
