data,origem,familia_caixa,modelo_caixa,dia_semana,real,ultima_semana,media_dia_semana,mediana_dia_semana,media_exponencial,tendencia_dia_semana
2026-08-28,AGROINDUSTRIA TREBESCHI,HB,618,sexta-feira,35.0,43.0,58.083333333333336,44.5,53.23169664915243,56.71428571428571
2026-08-29,AGROINDUSTRIA TREBESCHI,HB,618,sábado,19.0,130.0,66.25,36.0,62.86257964212134,90.60714285714282
2026-08-31,AGROINDUSTRIA TREBESCHI,HB,618,segunda-feira,85.0,76.0,75.61538461538461,47.0,79.11641905014007,23.642857142857196
2026-09-01,AGROINDUSTRIA TREBESCHI,HB,618,terça-feira,166.0,94.0,128.07692307692307,94.0,106.53965775874005,70.0357142857143
2026-09-02,AGROINDUSTRIA TREBESCHI,HB,618,quarta-feira,12.0,94.0,91.84615384615384,68.0,91.4320211945187,129.07142857142853
2026-09-03,AGROINDUSTRIA TREBESCHI,HB,618,quinta-feira,12.0,84.0,87.15384615384616,57.0,76.69933581177952,85.85714285714283
2026-09-04,AGROINDUSTRIA TREBESCHI,HB,618,sexta-feira,47.0,35.0,56.30769230769231,43.0,50.24034246127271,51.85714285714284
2026-09-05,AGROINDUSTRIA TREBESCHI,HB,618,sábado,94.0,19.0,62.61538461538461,35.0,55.01511779024395,64.32142857142853
2026-09-07,AGROINDUSTRIA TREBESCHI,HB,618,segunda-feira,0.0,85.0,76.28571428571429,60.0,79.82132228147177,123.71428571428567
2026-09-08,AGROINDUSTRIA TREBESCHI,HB,618,terça-feira,94.0,166.0,130.78571428571428,111.0,117.20402915744158,87.03571428571428
2026-09-09,AGROINDUSTRIA TREBESCHI,HB,618,quarta-feira,0.0,12.0,86.14285714285714,66.5,78.42370273117065,95.49999999999997
2026-09-10,AGROINDUSTRIA TREBESCHI,HB,618,quinta-feira,67.0,12.0,81.78571428571429,56.5,66.68634924383184,61.82142857142856
2026-09-11,AGROINDUSTRIA TREBESCHI,HB,618,sexta-feira,52.0,47.0,55.642857142857146,44.5,49.99058589398919,54.178571428571416
2026-09-12,AGROINDUSTRIA TREBESCHI,HB,618,sábado,130.0,94.0,64.85714285714286,36.0,61.48778701998646,93.99999999999997
