data,origem,familia_caixa,modelo_caixa,dia_semana,real,mediana_sazonal,media_movel_3,holt_winters,arima_111,sarima_111_100_6,metodo_mediana_sazonal,metodo_media_movel_3,metodo_holt_winters,metodo_arima_111,metodo_sarima_111_100_6
2026-08-28,AGROINDUSTRIA TREBESCHI,HB,618,sexta-feira,35.0,44.5,90.66666666666667,29.704793921074796,90.93823239810968,99.4345576741892,ajustado,ajustado,ajustado,ajustado,ajustado
2026-08-29,AGROINDUSTRIA TREBESCHI,HB,618,sábado,19.0,36.0,71.0,38.105669214165275,82.5993542401781,72.21866627736858,ajustado,ajustado,ajustado,ajustado,ajustado
2026-08-31,AGROINDUSTRIA TREBESCHI,HB,618,segunda-feira,85.0,47.0,46.0,44.55136032718519,61.603599692321225,63.557697564064284,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-01,AGROINDUSTRIA TREBESCHI,HB,618,terça-feira,166.0,94.0,46.333333333333336,98.63119447397307,52.73985452761558,54.013709692685225,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-02,AGROINDUSTRIA TREBESCHI,HB,618,quarta-feira,12.0,68.0,90.0,64.98962872339924,74.20308403452557,70.56412432850716,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-03,AGROINDUSTRIA TREBESCHI,HB,618,quinta-feira,12.0,57.0,87.66666666666667,58.3456739111642,87.06225965864664,81.4599320822609,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-04,AGROINDUSTRIA TREBESCHI,HB,618,sexta-feira,47.0,43.0,63.333333333333336,25.810371430926253,51.70198945082023,69.85333075850411,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-05,AGROINDUSTRIA TREBESCHI,HB,618,sábado,94.0,35.0,23.666666666666668,32.89332252871883,51.5686410000279,60.23153604476003,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-07,AGROINDUSTRIA TREBESCHI,HB,618,segunda-feira,0.0,60.0,51.0,46.601968079449186,53.93897666039488,47.778952443587386,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-08,AGROINDUSTRIA TREBESCHI,HB,618,terça-feira,94.0,111.0,47.0,99.377271313997,48.78000500986102,29.95329771570856,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-09,AGROINDUSTRIA TREBESCHI,HB,618,quarta-feira,0.0,66.5,62.666666666666664,54.54056142213157,51.78565282903923,56.28446397448299,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-10,AGROINDUSTRIA TREBESCHI,HB,618,quinta-feira,67.0,56.5,31.333333333333332,48.30551930853441,51.565049893533015,60.21350318214765,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-11,AGROINDUSTRIA TREBESCHI,HB,618,sexta-feira,52.0,44.5,53.666666666666664,22.76446159514917,48.36747300297105,41.299393535569195,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-12,AGROINDUSTRIA TREBESCHI,HB,618,sábado,130.0,36.0,39.666666666666664,32.94924090882564,47.64686901726,35.331764989277,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-14,AGROINDUSTRIA TREBESCHI,HB,618,segunda-feira,0.0,47.0,83.0,40.41352389375961,54.36831419034161,60.18998802230462,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-15,AGROINDUSTRIA TREBESCHI,HB,618,terça-feira,45.0,94.0,60.666666666666664,96.13115345613062,47.46268669404013,52.96032243712018,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-16,AGROINDUSTRIA TREBESCHI,HB,618,quarta-feira,0.0,65.0,58.333333333333336,46.49912902515105,46.82803439734282,53.27365182570457,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-17,AGROINDUSTRIA TREBESCHI,HB,618,quinta-feira,44.0,57.0,15.0,45.41085703718794,43.9289850051202,36.99638699221581,ajustado,ajustado,ajustado,ajustado,ajustado
2026-08-28,AGROINDUSTRIA TREBESCHI,HB,623,sexta-feira,0.0,0.0,2.0,0.9912886219998334,3.186180061989868,2.278103109309948,ajustado,ajustado,ajustado,ajustado,ajustado
2026-08-29,AGROINDUSTRIA TREBESCHI,HB,623,sábado,0.0,5.5,2.0,8.203707695298904,3.0390738417588423,6.7041497021569345,ajustado,ajustado,ajustado,ajustado,ajustado
2026-08-31,AGROINDUSTRIA TREBESCHI,HB,623,segunda-feira,0.0,0.0,0.0,7.4083425528568005,2.8984091098380937,1.8239334912963387,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-01,AGROINDUSTRIA TREBESCHI,HB,623,terça-feira,0.0,0.0,0.0,0.41567189874413457,2.764191821993839,1.7344246605059432,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-02,AGROINDUSTRIA TREBESCHI,HB,623,quarta-feira,0.0,0.0,0.0,0.8611742159457487,2.6369392011911277,2.9796236384130905,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-03,AGROINDUSTRIA TREBESCHI,HB,623,quinta-feira,0.0,0.0,0.0,0.36784818258959273,2.5140419815804105,1.4625751403491265,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-04,AGROINDUSTRIA TREBESCHI,HB,623,sexta-feira,0.0,0.0,0.0,0.3551991704651467,2.398085654922023,1.3804158163965545,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-05,AGROINDUSTRIA TREBESCHI,HB,623,sábado,8.0,4.0,0.0,7.034520490909422,2.287719633014608,1.2944362415219217,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-07,AGROINDUSTRIA TREBESCHI,HB,623,segunda-feira,0.0,0.0,2.6666666666666665,6.613026122657988,2.777680311185195,1.679686939243373,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-08,AGROINDUSTRIA TREBESCHI,HB,623,terça-feira,0.0,0.0,2.6666666666666665,0.14633583607232348,2.4543559272866213,1.543031543303106,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-09,AGROINDUSTRIA TREBESCHI,HB,623,quarta-feira,0.0,0.0,2.6666666666666665,0.5787969165070612,2.3448932873523813,1.4557591449561893,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-10,AGROINDUSTRIA TREBESCHI,HB,623,quinta-feira,0.0,0.0,0.0,0.13050744717304297,2.238596388680739,1.3725691574720378,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-11,AGROINDUSTRIA TREBESCHI,HB,623,sexta-feira,0.0,0.0,0.0,0.1269959575296553,2.13988435572046,1.2933691206331308,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-12,AGROINDUSTRIA TREBESCHI,HB,623,sábado,0.0,5.5,0.0,6.907823396089223,2.0436797885245466,3.0139391069432033,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-14,AGROINDUSTRIA TREBESCHI,HB,623,segunda-feira,0.0,0.0,0.0,5.699531126494278,1.95171941063893,1.057205452949813,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-15,AGROINDUSTRIA TREBESCHI,HB,623,terça-feira,22.0,0.0,0.0,0.0,1.863392083116161,1.0005401661956592,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-16,AGROINDUSTRIA TREBESCHI,HB,623,quarta-feira,20.0,0.0,7.333333333333333,0.8487824642394295,3.2295493570339158,2.077356708152518,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-17,AGROINDUSTRIA TREBESCHI,HB,623,quinta-feira,0.0,0.0,14.0,1.064610404092842,4.754789219095061,3.4272666465454336,ajustado,ajustado,ajustado,ajustado,ajustado
2026-08-28,AGROINDUSTRIA TREBESCHI,IFCO,6416,sexta-feira,0.0,0.0,3.3333333333333335,6.658067088878061,4.334766697194434,3.376275777676674,ajustado,ajustado,ajustado,ajustado,ajustado
2026-08-29,AGROINDUSTRIA TREBESCHI,IFCO,6416,sábado,2.0,0.0,3.3333333333333335,0.0,4.025317181602662,3.08837229366987,ajustado,ajustado,ajustado,ajustado,ajustado
2026-08-31,AGROINDUSTRIA TREBESCHI,IFCO,6416,segunda-feira,0.0,0.0,0.6666666666666666,0.0,3.6657781075476414,2.7560547146342995,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-01,AGROINDUSTRIA TREBESCHI,IFCO,6416,terça-feira,0.0,0.0,0.6666666666666666,0.0,3.5563384065371952,2.6749938340680774,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-02,AGROINDUSTRIA TREBESCHI,IFCO,6416,quarta-feira,8.0,8.0,0.6666666666666666,14.380955960547936,3.283580503591816,3.400554083103079,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-03,AGROINDUSTRIA TREBESCHI,IFCO,6416,quinta-feira,0.0,0.0,2.6666666666666665,9.76095889446515,2.751008061734236,1.960286426228718,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-04,AGROINDUSTRIA TREBESCHI,IFCO,6416,sexta-feira,0.0,0.0,2.6666666666666665,5.26140038350275,3.196255006164055,2.3595518551501855,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-05,AGROINDUSTRIA TREBESCHI,IFCO,6416,sábado,7.0,0.0,2.6666666666666665,0.0,2.947952235879013,2.330414650169304,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-07,AGROINDUSTRIA TREBESCHI,IFCO,6416,segunda-feira,0.0,0.0,2.3333333333333335,0.0,2.449946054244008,1.6784933334860908,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-08,AGROINDUSTRIA TREBESCHI,IFCO,6416,terça-feira,0.0,0.0,2.3333333333333335,0.0,2.8340139366899306,2.0843127681366367,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-09,AGROINDUSTRIA TREBESCHI,IFCO,6416,quarta-feira,5.0,8.0,2.3333333333333335,13.295937671561314,2.6053147701724733,2.669009583801873,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-10,AGROINDUSTRIA TREBESCHI,IFCO,6416,quinta-feira,0.0,0.0,1.6666666666666667,8.358167137252458,2.190833636123469,1.522953268103386,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-11,AGROINDUSTRIA TREBESCHI,IFCO,6416,sexta-feira,80.0,0.0,1.6666666666666667,4.232590514876287,2.4195159270441753,1.7114671210153918,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-12,AGROINDUSTRIA TREBESCHI,IFCO,6416,sábado,0.0,0.0,28.333333333333332,0.0,0.0,0.0,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-14,AGROINDUSTRIA TREBESCHI,IFCO,6416,segunda-feira,0.0,0.0,26.666666666666668,0.0,5.825369258605532,5.48476636195663,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-15,AGROINDUSTRIA TREBESCHI,IFCO,6416,terça-feira,0.0,0.0,26.666666666666668,0.0,5.525497252558541,5.129699114145749,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-16,AGROINDUSTRIA TREBESCHI,IFCO,6416,quarta-feira,4.0,8.0,0.0,14.406888870294123,5.237870690348955,5.308581212914245,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-17,AGROINDUSTRIA TREBESCHI,IFCO,6416,quinta-feira,0.0,0.0,1.3333333333333333,9.4038727442231,4.796000073578331,4.43616433107849,ajustado,ajustado,ajustado,ajustado,ajustado
2026-08-28,AGROINDUSTRIA TREBESCHI,IFCO,6424,sexta-feira,0.0,0.0,12.0,0.0,0.0,0.0,ajustado,ajustado,ajustado,ajustado,ajustado
2026-08-29,AGROINDUSTRIA TREBESCHI,IFCO,6424,sábado,20.0,30.0,5.333333333333333,0.0,0.0,0.0,ajustado,ajustado,ajustado,ajustado,ajustado
2026-08-31,AGROINDUSTRIA TREBESCHI,IFCO,6424,segunda-feira,0.0,0.0,6.666666666666667,0.0,0.0,7.139568153266119,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-01,AGROINDUSTRIA TREBESCHI,IFCO,6424,terça-feira,0.0,20.0,6.666666666666667,0.0,0.0,0.0,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-02,AGROINDUSTRIA TREBESCHI,IFCO,6424,quarta-feira,0.0,27.0,6.666666666666667,63.925339359768415,0.0,0.0,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-03,AGROINDUSTRIA TREBESCHI,IFCO,6424,quinta-feira,0.0,0.0,0.0,0.0,0.0,0.0,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-04,AGROINDUSTRIA TREBESCHI,IFCO,6424,sexta-feira,0.0,0.0,0.0,0.0,0.0,0.0,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-05,AGROINDUSTRIA TREBESCHI,IFCO,6424,sábado,20.0,20.0,0.0,0.0,0.0,0.0,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-07,AGROINDUSTRIA TREBESCHI,IFCO,6424,segunda-feira,0.0,0.0,6.666666666666667,0.0,0.0,0.0,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-08,AGROINDUSTRIA TREBESCHI,IFCO,6424,terça-feira,0.0,20.0,6.666666666666667,0.0,0.0,0.0,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-09,AGROINDUSTRIA TREBESCHI,IFCO,6424,quarta-feira,34.0,21.5,6.666666666666667,55.39189940563745,0.0,0.0,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-10,AGROINDUSTRIA TREBESCHI,IFCO,6424,quinta-feira,0.0,0.0,11.333333333333334,0.0,0.0,0.0,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-11,AGROINDUSTRIA TREBESCHI,IFCO,6424,sexta-feira,160.0,0.0,11.333333333333334,0.0,0.0,0.0,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-12,AGROINDUSTRIA TREBESCHI,IFCO,6424,sábado,20.0,20.0,64.66666666666667,0.0,0.0,0.0,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-14,AGROINDUSTRIA TREBESCHI,IFCO,6424,segunda-feira,0.0,0.0,60.0,0.0,0.0,0.0,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-15,AGROINDUSTRIA TREBESCHI,IFCO,6424,terça-feira,0.0,20.0,60.0,0.0,0.0,0.0,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-16,AGROINDUSTRIA TREBESCHI,IFCO,6424,quarta-feira,43.0,27.0,6.666666666666667,56.794250350060445,0.0,0.7516266211756103,ajustado,ajustado,ajustado,ajustado,ajustado
2026-09-17,AGROINDUSTRIA TREBESCHI,IFCO,6424,quinta-feira,0.0,0.0,14.333333333333334,0.0,0.0,0.0,ajustado,ajustado,ajustado,ajustado,ajustado
2026-08-28,F. BICAME,HB,623,sexta-feira,0.0,0.0,0.0,0.0,0.0,0.0,ajustado,ajustado,fallback_mediana,fallback_mediana,fallback_mediana
2026-08-29,F. BICAME,HB,623,sábado,0.0,0.0,0.0,0.0,0.0,0.0,ajustado,ajustado,fallback_mediana,fallback_mediana,fallback_mediana
2026-08-31,F. BICAME,HB,623,segunda-feira,0.0,0.0,0.0,0.0,0.0,0.0,ajustado,ajustado,fallback_mediana,fallback_mediana,fallback_mediana
2026-09-01,F. BICAME,HB,623,terça-feira,0.0,0.0,0.0,0.0,0.0,0.0,ajustado,ajustado,fallback_mediana,fallback_mediana,fallback_mediana
2026-09-02,F. BICAME,HB,623,quarta-feira,0.0,0.0,0.0,0.0,0.0,0.0,ajustado,ajustado,fallback_mediana,fallback_mediana,fallback_mediana
2026-09-03,F. BICAME,HB,623,quinta-feira,0.0,0.0,0.0,0.0,0.0,0.0,ajustado,ajustado,fallback_mediana,fallback_mediana,fallback_mediana
2026-09-04,F. BICAME,HB,623,sexta-feira,0.0,0.0,0.0,0.0,0.0,0.0,ajustado,ajustado,fallback_mediana,fallback_mediana,fallback_mediana
2026-09-05,F. BICAME,HB,623,sábado,0.0,0.0,0.0,0.0,0.0,0.0,ajustado,ajustado,fallback_mediana,fallback_mediana,fallback_mediana
2026-09-07,F. BICAME,HB,623,segunda-feira,0.0,0.0,0.0,0.0,0.0,0.0,ajustado,ajustado,fallback_mediana,fallback_mediana,fallback_mediana
2026-09-08,F. BICAME,HB,623,terça-feira,0.0,0.0,0.0,0.0,0.0,0.0,ajustado,ajustado,fallback_mediana,fallback_mediana,fallback_mediana
2026-09-09,F. BICAME,HB,623,quarta-feira,0.0,0.0,0.0,0.0,0.0,0.0,ajustado,ajustado,fallback_mediana,fallback_mediana,fallback_mediana
2026-09-10,F. BICAME,HB,623,quinta-feira,0.0,0.0,0.0,0.0,0.0,0.0,ajustado,ajustado,fallback_mediana,fallback_mediana,fallback_mediana
2026-09-11,F. BICAME,HB,623,sexta-feira,0.0,0.0,0.0,0.0,0.0,0.0,ajustado,ajustado,fallback_mediana,fallback_mediana,fallback_mediana
2026-09-12,F. BICAME,HB,623,sábado,0.0,0.0,0.0,0.0,0.0,0.0,ajustado,ajustado,fallback_mediana,fallback_mediana,fallback_mediana
2026-09-14,F. BICAME,HB,623,segunda-feira,0.0,0.0,0.0,0.0,0.0,0.0,ajustado,ajustado,fallback_mediana,fallback_mediana,fallback_mediana
2026-09-15,F. BICAME,HB,623,terça-feira,0.0,0.0,0.0,0.0,0.0,0.0,ajustado,ajustado,fallback_mediana,fallback_mediana,fallback_mediana
2026-09-16,F. BICAME,HB,623,quarta-feira,0.0,0.0,0.0,0.0,0.0,0.0,ajustado,ajustado,fallback_mediana,fallback_mediana,fallback_mediana
2026-09-17,F. BICAME,HB,623,quinta-feira,0.0,0.0,0.0,0.0,0.0,0.0,ajustado,ajustado,fallback_mediana,fallback_mediana,fallback_mediana
2026-08-28,F. BICAME,IFCO,6424,sexta-feira,0.0,0.0,0.0,0.0,0.0,0.0,ajustado,ajustado,fallback_mediana,fallback_mediana,fallback_mediana
2026-08-29,F. BICAME,IFCO,6424,sábado,0.0,0.0,0.0,0.0,0.0,0.0,ajustado,ajustado,fallback_mediana,fallback_mediana,fallback_mediana
2026-08-31,F. BICAME,IFCO,6424,segunda-feira,0.0,0.0,0.0,0.0,0.0,0.0,ajustado,ajustado,fallback_mediana,fallback_mediana,fallback_mediana
2026-09-01,F. BICAME,IFCO,6424,terça-feira,0.0,0.0,0.0,0.0,0.0,0.0,ajustado,ajustado,fallback_mediana,fallback_mediana,fallback_mediana
2026-09-02,F. BICAME,IFCO,6424,quarta-feira,403.0,0.0,0.0,0.0,0.0,0.0,ajustado,ajustado,fallback_mediana,fallback_mediana,fallback_mediana
