data,dia_semana,numero_dia_semana,origem,familia_caixa,modelo_caixa,quantidade_caixas,registros_origem
2026-06-01,segunda-feira,0,AGROINDUSTRIA TREBESCHI,HB,618,105.0,4
2026-06-01,segunda-feira,0,PH ALHO/CEBOLA,IFCO,6424,560.0,2
2026-06-01,segunda-feira,0,PH UBAJARA,HB,623,220.0,2
2026-06-01,segunda-feira,0,PH UBAJARA,IFCO,6416,54.0,50
2026-06-01,segunda-feira,0,PH UBAJARA,IFCO,6424,30.0,23
2026-06-01,segunda-feira,0,TREB. MINAS,HB,618,478.0,25
2026-06-01,segunda-feira,0,TREB. MINAS,HB,623,628.0,6
2026-06-01,segunda-feira,0,TREB. MINAS,IFCO,6416,331.0,8
2026-06-01,segunda-feira,0,TREB. MINAS,IFCO,6424,31.0,3
2026-06-02,terça-feira,1,AGROINDUSTRIA TREBESCHI,HB,618,128.0,4
2026-06-02,terça-feira,1,PH CORUMBA (PF),HB,623,440.0,1
2026-06-02,terça-feira,1,PH CORUMBA (PF),IFCO,6424,880.0,5
2026-06-02,terça-feira,1,PH UBAJARA,HB,618,185.0,16
2026-06-02,terça-feira,1,PH UBAJARA,HB,623,68.0,7
2026-06-02,terça-feira,1,PH UBAJARA,IFCO,6416,52.0,18
2026-06-02,terça-feira,1,PH UBAJARA,IFCO,6424,265.0,33
2026-06-02,terça-feira,1,TREB. CEARA,IFCO,6424,41.0,1
2026-06-02,terça-feira,1,TREB. MINAS,HB,618,483.0,28
2026-06-02,terça-feira,1,TREB. MINAS,HB,623,1215.0,31
2026-06-02,terça-feira,1,TREB. MINAS,HB,NAO_INFORMADO,139.0,9
2026-06-03,quarta-feira,2,AGROINDUSTRIA TREBESCHI,HB,618,72.0,4
2026-06-03,quarta-feira,2,AGROINDUSTRIA TREBESCHI,IFCO,6416,8.0,1
2026-06-03,quarta-feira,2,AGROINDUSTRIA TREBESCHI,IFCO,6424,49.0,3
2026-06-03,quarta-feira,2,PH CORUMBA (PF),HB,618,150.0,1
2026-06-03,quarta-feira,2,PH CORUMBA (PF),HB,623,1080.0,2
2026-06-03,quarta-feira,2,PH CORUMBA (PF),IFCO,6424,280.0,2
2026-06-03,quarta-feira,2,PH UBAJARA,HB,618,160.0,14
2026-06-03,quarta-feira,2,PH UBAJARA,HB,623,2.0,1
2026-06-03,quarta-feira,2,PH UBAJARA,IFCO,6416,241.0,18
2026-06-03,quarta-feira,2,PH UBAJARA,IFCO,6424,80.0,10
2026-06-03,quarta-feira,2,TREB. CEARA,HB,618,9.0,1
2026-06-03,quarta-feira,2,TREB. CEARA,IFCO,6416,32.0,1
2026-06-03,quarta-feira,2,TREB. MINAS,HB,618,414.0,5
2026-06-03,quarta-feira,2,TREB. MINAS,HB,623,85.0,4
2026-06-03,quarta-feira,2,TREB. MINAS,IFCO,6416,300.0,32
2026-06-03,quarta-feira,2,TREB. MINAS,IFCO,6424,118.0,8
2026-06-04,quinta-feira,3,AGROINDUSTRIA TREBESCHI,HB,618,57.0,4
2026-06-04,quinta-feira,3,PH CORUMBA (PF),IFCO,6424,560.0,1
2026-06-04,quinta-feira,3,PH UBAJARA,IFCO,6416,112.0,25
2026-06-04,quinta-feira,3,PH UBAJARA,IFCO,6424,8.0,1
2026-06-04,quinta-feira,3,TREB. CEARA,IFCO,6416,1.0,1
2026-06-04,quinta-feira,3,TREB. MINAS,HB,618,433.0,33
2026-06-04,quinta-feira,3,TREB. MINAS,HB,623,100.0,4
2026-06-04,quinta-feira,3,TREB. MINAS,IFCO,6416,22.0,4
2026-06-04,quinta-feira,3,TREB. MINAS,IFCO,6424,34.0,5
2026-06-05,sexta-feira,4,AGROINDUSTRIA TREBESCHI,HB,618,39.0,4
