data,dia_semana,numero_dia_semana,origem,familia_caixa,modelo_caixa_previsao,metodo_modelo,quantidade_caixas,registros_origem
2026-06-01,segunda-feira,0,AGROINDUSTRIA TREBESCHI,HB,618,explícito,105.0,4
2026-06-01,segunda-feira,0,PH ALHO/CEBOLA,IFCO,6424,explícito,560.0,2
2026-06-01,segunda-feira,0,PH UBAJARA,HB,623,explícito,220.0,2
2026-06-01,segunda-feira,0,PH UBAJARA,IFCO,6416,explícito,54.0,50
2026-06-01,segunda-feira,0,PH UBAJARA,IFCO,6424,explícito,30.0,23
2026-06-01,segunda-feira,0,TREB. MINAS,HB,618,explícito,478.0,25
2026-06-01,segunda-feira,0,TREB. MINAS,HB,623,explícito,628.0,6
2026-06-01,segunda-feira,0,TREB. MINAS,IFCO,6416,explícito,331.0,8
2026-06-01,segunda-feira,0,TREB. MINAS,IFCO,6424,explícito,31.0,3
2026-06-02,terça-feira,1,AGROINDUSTRIA TREBESCHI,HB,618,explícito,128.0,4
2026-06-02,terça-feira,1,PH CORUMBA (PF),HB,623,explícito,440.0,1
2026-06-02,terça-feira,1,PH CORUMBA (PF),IFCO,6424,explícito,880.0,5
2026-06-02,terça-feira,1,PH UBAJARA,HB,618,explícito,185.0,16
2026-06-02,terça-feira,1,PH UBAJARA,HB,623,explícito,68.0,7
2026-06-02,terça-feira,1,PH UBAJARA,IFCO,6416,explícito,52.0,18
2026-06-02,terça-feira,1,PH UBAJARA,IFCO,6424,explícito,265.0,33
2026-06-02,terça-feira,1,TREB. CEARA,IFCO,6424,explícito,41.0,1
2026-06-02,terça-feira,1,TREB. MINAS,HB,618,explícito,483.0,28
2026-06-02,terça-feira,1,TREB. MINAS,HB,618,rateio_por_capacidade,107.02959853101777,7
2026-06-02,terça-feira,1,TREB. MINAS,HB,623,explícito,1215.0,31
2026-06-02,terça-feira,1,TREB. MINAS,HB,623,rateio_por_capacidade,31.970401468982228,8
2026-06-03,quarta-feira,2,AGROINDUSTRIA TREBESCHI,HB,618,explícito,72.0,4
2026-06-03,quarta-feira,2,AGROINDUSTRIA TREBESCHI,IFCO,6416,explícito,8.0,1
2026-06-03,quarta-feira,2,AGROINDUSTRIA TREBESCHI,IFCO,6424,explícito,49.0,3
2026-06-03,quarta-feira,2,PH CORUMBA (PF),HB,618,explícito,150.0,1
2026-06-03,quarta-feira,2,PH CORUMBA (PF),HB,623,explícito,1080.0,2
2026-06-03,quarta-feira,2,PH CORUMBA (PF),IFCO,6424,explícito,280.0,2
2026-06-03,quarta-feira,2,PH UBAJARA,HB,618,explícito,160.0,14
2026-06-03,quarta-feira,2,PH UBAJARA,HB,623,explícito,2.0,1
2026-06-03,quarta-feira,2,PH UBAJARA,IFCO,6416,explícito,241.0,18
2026-06-03,quarta-feira,2,PH UBAJARA,IFCO,6424,explícito,80.0,10
2026-06-03,quarta-feira,2,TREB. CEARA,HB,618,explícito,9.0,1
2026-06-03,quarta-feira,2,TREB. CEARA,IFCO,6416,explícito,32.0,1
2026-06-03,quarta-feira,2,TREB. MINAS,HB,618,explícito,414.0,5
2026-06-03,quarta-feira,2,TREB. MINAS,HB,623,explícito,85.0,4
2026-06-03,quarta-feira,2,TREB. MINAS,IFCO,6416,explícito,300.0,32
2026-06-03,quarta-feira,2,TREB. MINAS,IFCO,6424,explícito,118.0,8
2026-06-04,quinta-feira,3,AGROINDUSTRIA TREBESCHI,HB,618,explícito,57.0,4
2026-06-04,quinta-feira,3,PH CORUMBA (PF),IFCO,6424,explícito,560.0,1
2026-06-04,quinta-feira,3,PH UBAJARA,IFCO,6416,explícito,112.0,25
2026-06-04,quinta-feira,3,PH UBAJARA,IFCO,6424,explícito,8.0,1
2026-06-04,quinta-feira,3,TREB. CEARA,IFCO,6416,explícito,1.0,1
2026-06-04,quinta-feira,3,TREB. MINAS,HB,618,explícito,433.0,33
2026-06-04,quinta-feira,3,TREB. MINAS,HB,623,explícito,100.0,4
2026-06-04,quinta-feira,3,TREB. MINAS,IFCO,6416,explícito,22.0,4
2026-06-04,quinta-feira,3,TREB. MINAS,IFCO,6424,explícito,34.0,5
2026-06-05,sexta-feira,4,AGROINDUSTRIA TREBESCHI,HB,618,explícito,39.0,4
2026-06-05,sexta-feira,4,AGROINDUSTRIA TREBESCHI,IFCO,6416,explícito,40.0,1
2026-06-05,sexta-feira,4,AGROINDUSTRIA TREBESCHI,IFCO,6424,explícito,520.0,1
2026-06-05,sexta-feira,4,PH CORUMBA (PF),HB,623,explícito,120.0,2
2026-06-05,sexta-feira,4,PH UBAJARA,IFCO,6416,explícito,169.0,35
2026-06-05,sexta-feira,4,PH UBAJARA,IFCO,6424,explícito,51.0,13
2026-06-05,sexta-feira,4,TREB. CEARA,IFCO,6416,explícito,25.0,2
2026-06-05,sexta-feira,4,TREB. MINAS,HB,618,explícito,119.0,5
2026-06-05,sexta-feira,4,TREB. MINAS,HB,623,explícito,562.0,5
2026-06-05,sexta-feira,4,TREB. MINAS,IFCO,6416,explícito,668.0,6
2026-06-06,sábado,5,AGROINDUSTRIA TREBESCHI,HB,618,explícito,176.0,7
2026-06-06,sábado,5,AGROINDUSTRIA TREBESCHI,IFCO,6424,explícito,100.0,1
2026-06-06,sábado,5,PH CORUMBA (PF),IFCO,6424,explícito,310.0,4
2026-06-06,sábado,5,PH UBAJARA,HB,618,explícito,340.0,30
2026-06-06,sábado,5,PH UBAJARA,HB,623,explícito,47.0,9
2026-06-06,sábado,5,PH UBAJARA,IFCO,6416,explícito,3.0,1
2026-06-06,sábado,5,PH UBAJARA,IFCO,6424,explícito,191.0,15
2026-06-06,sábado,5,TREB. CEARA,HB,618,explícito,25.0,1
2026-06-06,sábado,5,TREB. CEARA,IFCO,6424,explícito,41.0,1
2026-06-06,sábado,5,TREB. MINAS,HB,618,explícito,666.0,24
2026-06-06,sábado,5,TREB. MINAS,HB,623,explícito,270.0,6
2026-06-06,sábado,5,TREB. MINAS,IFCO,6416,explícito,682.0,22
2026-06-06,sábado,5,TREB. MINAS,IFCO,6424,explícito,440.0,4
2026-06-08,segunda-feira,0,AGROINDUSTRIA TREBESCHI,HB,618,explícito,82.0,5
2026-06-08,segunda-feira,0,PH CORUMBA (PF),HB,623,explícito,450.0,1
2026-06-08,segunda-feira,0,PH CORUMBA (PF),IFCO,6424,explícito,80.0,4
2026-06-08,segunda-feira,0,PH UBAJARA,IFCO,6424,explícito,5.0,3
2026-06-08,segunda-feira,0,TREB. MINAS,HB,618,explícito,532.0,26
2026-06-08,segunda-feira,0,TREB. MINAS,HB,623,explícito,192.0,6
2026-06-08,segunda-feira,0,TREB. MINAS,IFCO,6416,explícito,389.0,5
2026-06-09,terça-feira,1,AGROINDUSTRIA TREBESCHI,HB,618,explícito,351.0,7
2026-06-09,terça-feira,1,AGROINDUSTRIA TREBESCHI,IFCO,6424,explícito,40.0,1
2026-06-09,terça-feira,1,PH CORUMBA (PF),IFCO,6424,explícito,240.0,2
2026-06-09,terça-feira,1,PH UBAJARA,HB,618,explícito,96.0,9
2026-06-09,terça-feira,1,PH UBAJARA,HB,623,explícito,43.0,7
2026-06-09,terça-feira,1,PH UBAJARA,IFCO,6424,explícito,120.0,14
2026-06-09,terça-feira,1,TREB. MINAS,HB,618,explícito,678.0,24
2026-06-09,terça-feira,1,TREB. MINAS,HB,618,rateio_por_capacidade,91.40877809386163,4
2026-06-09,terça-feira,1,TREB. MINAS,HB,623,explícito,1252.0,21
2026-06-09,terça-feira,1,TREB. MINAS,HB,623,rateio_por_capacidade,13.591221906138383,6
2026-06-09,terça-feira,1,TREB. MINAS,IFCO,6416,explícito,520.0,15
2026-06-09,terça-feira,1,TREB. MINAS,IFCO,6424,explícito,1248.0,10
