data,dia_semana,numero_dia_semana,origem,familia_caixa,modelo_caixa,quantidade_caixas,fonte_classificacao,desc_embalagem_original,desc_produto_original
2026-09-04,sexta-feira,4,PH ALHO/CEBOLA,HB,618,3,Desc. Produto,Caixa,ALHO ESPECIAL CL 5 TOALETADO HB 618 - 5KG
2026-06-26,sexta-feira,4,PH CASCAVEL,IFCO,6424,40,Desc. Produto,Caixa,TOMATE LV AA MISTO COR 1/2 IFCO 6424 - 20KG
2026-06-10,quarta-feira,2,AGROINDUSTRIA TREBESCHI,IFCO,6424,800,Desc. Embal.,IFCO ALTA ST 6424 C/ 44UN,SWEET MILHO 450G [AGROINDUSTRIA]
2026-06-05,sexta-feira,4,AGROINDUSTRIA TREBESCHI,IFCO,6424,520,Desc. Embal.,IFCO ALTA ST 6424 C/ 44UN,SWEET MILHO 450G [AGROINDUSTRIA]
2026-06-24,quarta-feira,2,AGROINDUSTRIA TREBESCHI,IFCO,6424,200,Desc. Embal.,IFCO ALTA ST 6424 C/ 44UN,SWEET MILHO 450G [AGROINDUSTRIA]
2026-07-02,quinta-feira,3,AGROINDUSTRIA TREBESCHI,IFCO,6424,40,Desc. Embal.,IFCO ALTA ST 6424 C/ 44UN,SWEET MILHO 450G [AGROINDUSTRIA]
2026-06-17,quarta-feira,2,AGROINDUSTRIA TREBESCHI,IFCO,6424,200,Desc. Embal.,IFCO ALTA ST 6424 C/ 44UN,SWEET MILHO 450G [AGROINDUSTRIA]
2026-07-16,quinta-feira,3,AGROINDUSTRIA TREBESCHI,IFCO,6424,200,Desc. Embal.,IFCO ALTA ST 6424 C/ 44UN,SWEET MILHO 450G [AGROINDUSTRIA]
2026-08-24,segunda-feira,0,AGROINDUSTRIA TREBESCHI,IFCO,6424,120,Desc. Embal.,IFCO ALTA ST 6424 C/ 44UN,SWEET MILHO 450G [AGROINDUSTRIA]
2026-09-11,sexta-feira,4,AGROINDUSTRIA TREBESCHI,IFCO,6424,160,Desc. Embal.,IFCO ALTA ST 6424 C/ 44UN,SWEET MILHO 450G [AGROINDUSTRIA]
2026-06-05,sexta-feira,4,AGROINDUSTRIA TREBESCHI,IFCO,6416,40,Desc. Embal.,IFCO BAIXA ST 6416 C/ 20UN,BETERRABA 400G [AGROINDUSTRIA]
2026-06-17,quarta-feira,2,AGROINDUSTRIA TREBESCHI,IFCO,6416,40,Desc. Embal.,IFCO BAIXA ST 6416 C/ 20UN,BETERRABA 400G [AGROINDUSTRIA]
2026-07-10,sexta-feira,4,AGROINDUSTRIA TREBESCHI,IFCO,6416,40,Desc. Embal.,IFCO BAIXA ST 6416 C/ 20UN,BETERRABA 400G [AGROINDUSTRIA]
2026-07-30,quinta-feira,3,AGROINDUSTRIA TREBESCHI,IFCO,6416,40,Desc. Embal.,IFCO BAIXA ST 6416 C/ 20UN,BETERRABA 400G [AGROINDUSTRIA]
2026-07-16,quinta-feira,3,AGROINDUSTRIA TREBESCHI,IFCO,6416,25,Desc. Embal.,IFCO BAIXA ST 6416 C/ 20UN,BETERRABA 400G [AGROINDUSTRIA]
2026-09-11,sexta-feira,4,AGROINDUSTRIA TREBESCHI,IFCO,6416,40,Desc. Embal.,IFCO BAIXA ST 6416 C/ 20UN,BETERRABA 400G [AGROINDUSTRIA]
2026-06-24,quarta-feira,2,AGROINDUSTRIA TREBESCHI,IFCO,6416,40,Desc. Embal.,IFCO BAIXA ST 6416 C/ 20UN,MANDIOCA 400G [AGROINDUSTRIA]
2026-06-17,quarta-feira,2,AGROINDUSTRIA TREBESCHI,IFCO,6416,40,Desc. Embal.,IFCO BAIXA ST 6416 C/ 20UN,MANDIOCA 400G [AGROINDUSTRIA]
2026-07-10,sexta-feira,4,AGROINDUSTRIA TREBESCHI,IFCO,6416,40,Desc. Embal.,IFCO BAIXA ST 6416 C/ 20UN,MANDIOCA 400G [AGROINDUSTRIA]
2026-07-16,quinta-feira,3,AGROINDUSTRIA TREBESCHI,IFCO,6416,25,Desc. Embal.,IFCO BAIXA ST 6416 C/ 20UN,MANDIOCA 400G [AGROINDUSTRIA]
2026-07-30,quinta-feira,3,AGROINDUSTRIA TREBESCHI,IFCO,6416,80,Desc. Embal.,IFCO BAIXA ST 6416 C/ 20UN,MANDIOCA 400G [AGROINDUSTRIA]
2026-09-11,sexta-feira,4,AGROINDUSTRIA TREBESCHI,IFCO,6416,40,Desc. Embal.,IFCO BAIXA ST 6416 C/ 20UN,MANDIOCA 400G [AGROINDUSTRIA]
2026-06-10,quarta-feira,2,TREB. MINAS,IFCO,6424,200,Desc. Embal.,IFCO ALTA ST 6424 C/ 15KG,SWEET GRAPE [KG]
2026-07-03,sexta-feira,4,TREB. MINAS,IFCO,6424,320,Desc. Embal.,IFCO ALTA ST 6424 C/ 15KG,SWEET GRAPE [KG]
2026-06-17,quarta-feira,2,TREB. MINAS,IFCO,6424,280,Desc. Embal.,IFCO ALTA ST 6424 C/ 15KG,SWEET GRAPE [KG]
2026-07-10,sexta-feira,4,TREB. MINAS,IFCO,6424,0.0666666666666667,Desc. Embal.,IFCO ALTA ST 6424 C/ 15KG,SWEET GRAPE [KG]
2026-07-16,quinta-feira,3,TREB. MINAS,IFCO,6424,1,Desc. Embal.,IFCO ALTA ST 6424 C/ 15KG,SWEET GRAPE [KG]
