escopo,modelo_previsao,MAE,RMSE,WAPE_pct,viés,MAPE_pct_positivos,observacoes,cobertura_ajuste_pct
HB 618,holt_winters,21.66159348105973,51.31740368637664,33.744958618701574,1406.7000623268466,71.43414424965123,180,80.0
HB 618,mediana_sazonal,23.485915323837126,60.52368162515372,36.58693167786476,-3005.3707371163578,69.92614199842548,180,100.0
HB 618,sarima_111_100_6,25.436977188731134,64.78414637443922,39.62634343448102,1230.416328414287,77.54031061540614,180,80.0
HB 618,arima_111,30.26213363759019,75.863341104524,47.14308982887159,1422.3439694674337,81.73610187311694,180,80.0
HB 618,media_movel_3,38.56748873306154,94.76824823921716,60.08137455180102,558.0468882379339,97.0561335460726,180,100.0
HB 623,mediana_sazonal,453.97602924487984,5235.11281763117,95.03718700636479,-97501.32537259258,82.38849848968047,216,100.0
HB 623,arima_111,521.8367511318443,5224.494045725018,109.24342632496003,-60201.334849417966,193.54699531798215,216,83.33333333333334
HB 623,holt_winters,542.0196989040086,5306.862604900804,113.46860663889287,-53558.52415174621,152.83871142157906,216,83.33333333333334
HB 623,media_movel_3,802.1698173755793,6005.271058815555,167.9294897388996,-2407.046888237931,367.26992318427926,216,100.0
HB 623,sarima_111_100_6,846.191595207547,6489.159289616429,177.1451876230551,9523.168508777553,345.99673859651074,216,83.33333333333334
HB NAO_INFORMADO,media_movel_3,0.0,0.0,0.0,0.0,,54,100.0
HB NAO_INFORMADO,arima_111,0.0043787534366186215,0.007593569838173943,23645268557.740555,0.23645268557740556,,54,66.66666666666666
HB NAO_INFORMADO,sarima_111_100_6,0.004632385704020554,0.00803647524281449,25014882801.71099,0.2501488280171099,,54,66.66666666666666
HB NAO_INFORMADO,holt_winters,0.0060808547137732386,0.017403542933366538,32836615454.37549,0.3283661545437549,,54,66.66666666666666
HB NAO_INFORMADO,mediana_sazonal,0.8055555555555556,2.8746980517767233,4349999999999.9995,43.5,,54,100.0
IFCO 6416,holt_winters,33.82864331568559,107.51276988498677,63.81647996670819,449.215267169915,101.93010284047472,216,66.66666666666666
IFCO 6416,sarima_111_100_6,36.131504145321806,118.15418072523327,68.16074144444987,333.1827511056917,154.56637629576426,216,66.66666666666666
IFCO 6416,mediana_sazonal,36.355246913580245,116.51676207147794,68.58282387190684,2008.7333333333331,298.36598041739757,216,100.0
IFCO 6416,arima_111,37.12575076706483,124.10111483516764,70.0363507920175,757.2000780354732,215.87848068021506,216,66.66666666666666
IFCO 6416,media_movel_3,38.7253086419753,137.22020166453615,73.05385735080058,-73.33333333333324,196.74787414855274,216,100.0
IFCO 6420,mediana_sazonal,1.2777777777777777,3.24037034920393,100.0,-23.0,100.0,18,100.0
IFCO 6420,holt_winters,1.2777777777777777,3.24037034920393,100.0,-23.0,100.0,18,0.0
IFCO 6420,arima_111,1.2777777777777777,3.24037034920393,100.0,-23.0,100.0,18,0.0
IFCO 6420,sarima_111_100_6,1.2777777777777777,3.24037034920393,100.0,-23.0,100.0,18,0.0
IFCO 6420,media_movel_3,2.0,3.4854193647462495,156.52173913043478,-10.0,100.0,18,100.0
IFCO 6424,mediana_sazonal,118.46520146520146,346.3418110709936,97.53996179752689,-20964.142857142855,195.7725342239815,234,100.0
IFCO 6424,holt_winters,133.10947364825117,309.5154769635401,109.59752580468252,2730.171267663802,483.19026120685135,234,96.58119658119658
IFCO 6424,sarima_111_100_6,134.92835429830112,323.65031139537405,111.09512633991014,622.510920319899,583.029396146929,234,96.58119658119658
IFCO 6424,arima_111,136.84790947658158,324.8620361436989,112.6756186401129,544.9152773467276,569.8830381171472,234,96.58119658119658
IFCO 6424,media_movel_3,143.5669515669516,363.9841279425685,118.20783485808117,740.0000000000002,538.3495478816025,234,100.0
IFCO NAO_INFORMADO,mediana_sazonal,0.0,0.0,0.0,0.0,,72,100.0
IFCO NAO_INFORMADO,media_movel_3,0.0,0.0,0.0,0.0,,72,100.0
IFCO NAO_INFORMADO,arima_111,0.0,0.0,0.0,0.0,,72,75.0
IFCO NAO_INFORMADO,sarima_111_100_6,0.0,0.0,0.0,0.0,,72,75.0
IFCO NAO_INFORMADO,holt_winters,0.01879679054605722,0.052024784066335164,135336891931.61197,1.3533689193161198,,72,75.0
geral,mediana_sazonal,139.31957328421737,2451.848428258032,89.19941378373453,-119441.60563351845,159.2975866581153,990,100.0
geral,arima_111,159.82700175266288,2446.3642480015073,102.32930324919727,-57499.639071882775,281.9017729924837,990,79.1919191919192
geral,holt_winters,161.06528011596902,2483.9994858108835,103.1221114778204,-48993.755819511774,220.02446058747807,990,79.1919191919192
geral,media_movel_3,224.45066854384802,2811.6557355218997,143.7046323464916,-1192.3333333333333,311.8220380901885,990,100.0
geral,sarima_111_100_6,229.04740445335534,3035.791071163337,146.64769439284328,11686.528657445426,306.60805686066647,990,79.1919191919192
