data,origem,familia_caixa,modelo_caixa_previsao,quantidade_caixas,numero_dia_semana,dia_semana
2023-01-02,AGROINDUSTRIA TREBESCHI,HB,618,0.0,0,segunda-feira
2023-01-03,AGROINDUSTRIA TREBESCHI,HB,618,0.0,1,terça-feira
2023-01-04,AGROINDUSTRIA TREBESCHI,HB,618,0.0,2,quarta-feira
2023-01-05,AGROINDUSTRIA TREBESCHI,HB,618,0.0,3,quinta-feira
2023-01-06,AGROINDUSTRIA TREBESCHI,HB,618,0.0,4,sexta-feira
2023-01-07,AGROINDUSTRIA TREBESCHI,HB,618,0.0,5,sábado
2023-01-09,AGROINDUSTRIA TREBESCHI,HB,618,0.0,0,segunda-feira
2023-01-10,AGROINDUSTRIA TREBESCHI,HB,618,0.0,1,terça-feira
2023-01-11,AGROINDUSTRIA TREBESCHI,HB,618,0.0,2,quarta-feira
2023-01-12,AGROINDUSTRIA TREBESCHI,HB,618,0.0,3,quinta-feira
2023-01-13,AGROINDUSTRIA TREBESCHI,HB,618,0.0,4,sexta-feira
2023-01-14,AGROINDUSTRIA TREBESCHI,HB,618,0.0,5,sábado
2023-01-16,AGROINDUSTRIA TREBESCHI,HB,618,0.0,0,segunda-feira
2023-01-17,AGROINDUSTRIA TREBESCHI,HB,618,0.0,1,terça-feira
2023-01-18,AGROINDUSTRIA TREBESCHI,HB,618,0.0,2,quarta-feira
2023-01-19,AGROINDUSTRIA TREBESCHI,HB,618,0.0,3,quinta-feira
2023-01-20,AGROINDUSTRIA TREBESCHI,HB,618,0.0,4,sexta-feira
2023-01-21,AGROINDUSTRIA TREBESCHI,HB,618,0.0,5,sábado
2023-01-23,AGROINDUSTRIA TREBESCHI,HB,618,0.0,0,segunda-feira
2023-01-24,AGROINDUSTRIA TREBESCHI,HB,618,0.0,1,terça-feira
2023-01-25,AGROINDUSTRIA TREBESCHI,HB,618,0.0,2,quarta-feira
2023-01-26,AGROINDUSTRIA TREBESCHI,HB,618,0.0,3,quinta-feira
2023-01-27,AGROINDUSTRIA TREBESCHI,HB,618,0.0,4,sexta-feira
2023-01-28,AGROINDUSTRIA TREBESCHI,HB,618,0.0,5,sábado
2023-01-30,AGROINDUSTRIA TREBESCHI,HB,618,0.0,0,segunda-feira
2023-01-31,AGROINDUSTRIA TREBESCHI,HB,618,0.0,1,terça-feira
2023-02-01,AGROINDUSTRIA TREBESCHI,HB,618,0.0,2,quarta-feira
2023-02-02,AGROINDUSTRIA TREBESCHI,HB,618,0.0,3,quinta-feira
2023-02-03,AGROINDUSTRIA TREBESCHI,HB,618,0.0,4,sexta-feira
2023-02-04,AGROINDUSTRIA TREBESCHI,HB,618,0.0,5,sábado
2023-02-06,AGROINDUSTRIA TREBESCHI,HB,618,0.0,0,segunda-feira
2023-02-07,AGROINDUSTRIA TREBESCHI,HB,618,0.0,1,terça-feira
2023-02-08,AGROINDUSTRIA TREBESCHI,HB,618,0.0,2,quarta-feira
2023-02-09,AGROINDUSTRIA TREBESCHI,HB,618,0.0,3,quinta-feira
2023-02-10,AGROINDUSTRIA TREBESCHI,HB,618,0.0,4,sexta-feira
2023-02-11,AGROINDUSTRIA TREBESCHI,HB,618,0.0,5,sábado
2023-02-13,AGROINDUSTRIA TREBESCHI,HB,618,0.0,0,segunda-feira
2023-02-14,AGROINDUSTRIA TREBESCHI,HB,618,0.0,1,terça-feira
2023-02-15,AGROINDUSTRIA TREBESCHI,HB,618,0.0,2,quarta-feira
2023-02-16,AGROINDUSTRIA TREBESCHI,HB,618,0.0,3,quinta-feira
2023-02-17,AGROINDUSTRIA TREBESCHI,HB,618,0.0,4,sexta-feira
2023-02-18,AGROINDUSTRIA TREBESCHI,HB,618,0.0,5,sábado
2023-02-20,AGROINDUSTRIA TREBESCHI,HB,618,0.0,0,segunda-feira
2023-02-21,AGROINDUSTRIA TREBESCHI,HB,618,0.0,1,terça-feira
2023-02-22,AGROINDUSTRIA TREBESCHI,HB,618,0.0,2,quarta-feira
2023-02-23,AGROINDUSTRIA TREBESCHI,HB,618,0.0,3,quinta-feira
2023-02-24,AGROINDUSTRIA TREBESCHI,HB,618,0.0,4,sexta-feira
2023-02-25,AGROINDUSTRIA TREBESCHI,HB,618,0.0,5,sábado
2023-02-27,AGROINDUSTRIA TREBESCHI,HB,618,0.0,0,segunda-feira
2023-02-28,AGROINDUSTRIA TREBESCHI,HB,618,0.0,1,terça-feira
2023-03-01,AGROINDUSTRIA TREBESCHI,HB,618,0.0,2,quarta-feira
2023-03-02,AGROINDUSTRIA TREBESCHI,HB,618,0.0,3,quinta-feira
2023-03-03,AGROINDUSTRIA TREBESCHI,HB,618,0.0,4,sexta-feira
2023-03-04,AGROINDUSTRIA TREBESCHI,HB,618,0.0,5,sábado
2023-03-06,AGROINDUSTRIA TREBESCHI,HB,618,0.0,0,segunda-feira
2023-03-07,AGROINDUSTRIA TREBESCHI,HB,618,0.0,1,terça-feira
2023-03-08,AGROINDUSTRIA TREBESCHI,HB,618,0.0,2,quarta-feira
2023-03-09,AGROINDUSTRIA TREBESCHI,HB,618,0.0,3,quinta-feira
2023-03-10,AGROINDUSTRIA TREBESCHI,HB,618,0.0,4,sexta-feira
2023-03-11,AGROINDUSTRIA TREBESCHI,HB,618,0.0,5,sábado
2023-03-13,AGROINDUSTRIA TREBESCHI,HB,618,0.0,0,segunda-feira
2023-03-14,AGROINDUSTRIA TREBESCHI,HB,618,0.0,1,terça-feira
2023-03-15,AGROINDUSTRIA TREBESCHI,HB,618,0.0,2,quarta-feira
2023-03-16,AGROINDUSTRIA TREBESCHI,HB,618,0.0,3,quinta-feira
2023-03-17,AGROINDUSTRIA TREBESCHI,HB,618,0.0,4,sexta-feira
2023-03-18,AGROINDUSTRIA TREBESCHI,HB,618,0.0,5,sábado
2023-03-20,AGROINDUSTRIA TREBESCHI,HB,618,0.0,0,segunda-feira
2023-03-21,AGROINDUSTRIA TREBESCHI,HB,618,0.0,1,terça-feira
2023-03-22,AGROINDUSTRIA TREBESCHI,HB,618,0.0,2,quarta-feira
2023-03-23,AGROINDUSTRIA TREBESCHI,HB,618,0.0,3,quinta-feira
2023-03-24,AGROINDUSTRIA TREBESCHI,HB,618,0.0,4,sexta-feira
2023-03-25,AGROINDUSTRIA TREBESCHI,HB,618,0.0,5,sábado
2023-03-27,AGROINDUSTRIA TREBESCHI,HB,618,0.0,0,segunda-feira
2023-03-28,AGROINDUSTRIA TREBESCHI,HB,618,0.0,1,terça-feira
2023-03-29,AGROINDUSTRIA TREBESCHI,HB,618,0.0,2,quarta-feira
2023-03-30,AGROINDUSTRIA TREBESCHI,HB,618,0.0,3,quinta-feira
2023-03-31,AGROINDUSTRIA TREBESCHI,HB,618,0.0,4,sexta-feira
2023-04-01,AGROINDUSTRIA TREBESCHI,HB,618,0.0,5,sábado
2023-04-03,AGROINDUSTRIA TREBESCHI,HB,618,0.0,0,segunda-feira
2023-04-04,AGROINDUSTRIA TREBESCHI,HB,618,0.0,1,terça-feira
2023-04-05,AGROINDUSTRIA TREBESCHI,HB,618,0.0,2,quarta-feira
2023-04-06,AGROINDUSTRIA TREBESCHI,HB,618,0.0,3,quinta-feira
2023-04-07,AGROINDUSTRIA TREBESCHI,HB,618,0.0,4,sexta-feira
2023-04-08,AGROINDUSTRIA TREBESCHI,HB,618,0.0,5,sábado
2023-04-10,AGROINDUSTRIA TREBESCHI,HB,618,0.0,0,segunda-feira
2023-04-11,AGROINDUSTRIA TREBESCHI,HB,618,0.0,1,terça-feira
2023-04-12,AGROINDUSTRIA TREBESCHI,HB,618,0.0,2,quarta-feira
2023-04-13,AGROINDUSTRIA TREBESCHI,HB,618,0.0,3,quinta-feira
2023-04-14,AGROINDUSTRIA TREBESCHI,HB,618,0.0,4,sexta-feira
2023-04-15,AGROINDUSTRIA TREBESCHI,HB,618,0.0,5,sábado
2023-04-17,AGROINDUSTRIA TREBESCHI,HB,618,0.0,0,segunda-feira
2023-04-18,AGROINDUSTRIA TREBESCHI,HB,618,0.0,1,terça-feira
