data,origem,familia_caixa,modelo_caixa,dia_semana,real,ultima_semana,media_dia_semana,mediana_dia_semana,media_exponencial,tendencia_dia_semana
2026-08-28,AGROINDUSTRIA TREBESCHI,HB,618,sexta-feira,35.0,43.0,5.578947368421052,0.0,11.640712689546143,56.71428571428571
2026-08-29,AGROINDUSTRIA TREBESCHI,HB,618,sábado,19.0,130.0,9.694736842105263,0.0,19.641209356042,90.60714285714282
2026-08-31,AGROINDUSTRIA TREBESCHI,HB,618,segunda-feira,85.0,76.0,10.842931937172775,0.0,22.042161134969824,23.642857142857196
2026-09-01,AGROINDUSTRIA TREBESCHI,HB,618,terça-feira,166.0,94.0,13.015706806282722,0.0,26.544179067534404,70.0357142857143
2026-09-02,AGROINDUSTRIA TREBESCHI,HB,618,quarta-feira,12.0,94.0,11.015706806282722,0.0,22.6524740773204,129.07142857142853
2026-09-03,AGROINDUSTRIA TREBESCHI,HB,618,quinta-feira,12.0,84.0,10.230366492146597,0.0,20.67744268666226,85.85714285714283
2026-09-04,AGROINDUSTRIA TREBESCHI,HB,618,sexta-feira,47.0,35.0,5.732984293193717,0.0,11.887762204233221,51.85714285714284
2026-09-05,AGROINDUSTRIA TREBESCHI,HB,618,sábado,94.0,19.0,9.743455497382199,0.0,19.576718650997087,64.32142857142853
2026-09-07,AGROINDUSTRIA TREBESCHI,HB,618,segunda-feira,0.0,85.0,11.229166666666666,0.0,22.73559189420033,123.71428571428567
2026-09-08,AGROINDUSTRIA TREBESCHI,HB,618,terça-feira,94.0,166.0,13.8125,0.0,28.14408877686728,87.03571428571428
2026-09-09,AGROINDUSTRIA TREBESCHI,HB,618,quarta-feira,0.0,12.0,11.020833333333334,0.0,22.457528284626772,95.49999999999997
2026-09-10,AGROINDUSTRIA TREBESCHI,HB,618,quinta-feira,67.0,12.0,10.239583333333334,0.0,20.513732107331972,61.82142857142856
2026-09-11,AGROINDUSTRIA TREBESCHI,HB,618,sexta-feira,52.0,47.0,5.947916666666667,0.0,12.27451110174711,54.178571428571416
2026-09-12,AGROINDUSTRIA TREBESCHI,HB,618,sábado,130.0,94.0,10.182291666666666,0.0,20.416405543010516,93.99999999999997
2026-09-14,AGROINDUSTRIA TREBESCHI,HB,618,segunda-feira,0.0,0.0,11.17098445595855,0.0,22.39854879799365,72.1785714285714
2026-09-15,AGROINDUSTRIA TREBESCHI,HB,618,terça-feira,45.0,94.0,14.2279792746114,0.0,28.850540658322462,143.8928571428571
2026-09-16,AGROINDUSTRIA TREBESCHI,HB,618,quarta-feira,0.0,0.0,10.963730569948186,0.0,22.12396021668721,60.892857142857125
2026-09-17,AGROINDUSTRIA TREBESCHI,HB,618,quinta-feira,44.0,67.0,10.533678756476684,0.0,21.012306090234887,70.35714285714285
2026-08-28,AGROINDUSTRIA TREBESCHI,HB,623,sexta-feira,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-29,AGROINDUSTRIA TREBESCHI,HB,623,sábado,0.0,19.0,0.45789473684210524,0.0,1.0251055124818114,15.964285714285712
2026-08-31,AGROINDUSTRIA TREBESCHI,HB,623,segunda-feira,0.0,0.0,0.45549738219895286,0.0,0.975248258897942,0.0
2026-09-01,AGROINDUSTRIA TREBESCHI,HB,623,terça-feira,0.0,0.0,0.2356020942408377,0.0,0.46951009559616336,0.0
