data,dia_semana,numero_dia_semana,origem,familia_caixa,modelo_caixa,quantidade_caixas,registros_origem
2023-01-02,segunda-feira,0,F. TAQUARIVAI,IFCO,6416,537.0,5
2023-01-02,segunda-feira,0,F. TAQUARIVAI,IFCO,6424,320.0,1
2023-01-02,segunda-feira,0,TREB. CEAGESP,IFCO,6424,5.0,1
2023-01-02,segunda-feira,0,TREB. MINAS,IFCO,6416,1147.6666666666665,60
2023-01-02,segunda-feira,0,TREB. MINAS,IFCO,6424,74.0,54
2023-01-02,segunda-feira,0,TREB. MINAS,IFCO,NAO_INFORMADO,16.0,1
2023-01-03,terça-feira,1,F. TAQUARIVAI,HB,623,580.0,2
2023-01-03,terça-feira,1,F. TAQUARIVAI,IFCO,6416,628.0,5
2023-01-03,terça-feira,1,F. TAQUARIVAI,IFCO,6424,560.0,2
2023-01-03,terça-feira,1,PH UBAJARA,IFCO,6416,978.0,77
2023-01-03,terça-feira,1,PH UBAJARA,IFCO,6424,260.0,20
2023-01-03,terça-feira,1,PH UBAJARA,IFCO,NAO_INFORMADO,26.0,1
2023-01-03,terça-feira,1,TREB. MINAS,HB,NAO_INFORMADO,444.0,1
2023-01-03,terça-feira,1,TREB. MINAS,IFCO,6416,425.0,20
2023-01-03,terça-feira,1,TREB. MINAS,IFCO,6424,1.0,1
2023-01-03,terça-feira,1,TREB. MINAS,IFCO,NAO_INFORMADO,10.0,1
2023-01-04,quarta-feira,2,F. TAQUARIVAI,IFCO,6416,474.0,5
2023-01-04,quarta-feira,2,F. TAQUARIVAI,IFCO,6424,960.0,2
2023-01-04,quarta-feira,2,PH CORUMBA (PF),IFCO,6416,10.0,1
2023-01-04,quarta-feira,2,PH CORUMBA (PF),IFCO,6424,83.0,31
2023-01-04,quarta-feira,2,PH UBAJARA,IFCO,6416,682.0,72
2023-01-04,quarta-feira,2,PH UBAJARA,IFCO,6424,242.0,9
2023-01-04,quarta-feira,2,TREB. MINAS,HB,623,500.0,1
2023-01-04,quarta-feira,2,TREB. MINAS,HB,NAO_INFORMADO,719.0,22
2023-01-04,quarta-feira,2,TREB. MINAS,IFCO,6416,1563.0,117
2023-01-04,quarta-feira,2,TREB. MINAS,IFCO,6424,163.0,32
2023-01-04,quarta-feira,2,TREB. MINAS,IFCO,NAO_INFORMADO,18.0,1
2023-01-05,quinta-feira,3,F. TAQUARIVAI,IFCO,6424,320.0,1
2023-01-05,quinta-feira,3,PH CORUMBA (PF),IFCO,6416,11.0,2
2023-01-05,quinta-feira,3,PH CORUMBA (PF),IFCO,6424,1.0,1
2023-01-05,quinta-feira,3,PH UBAJARA,IFCO,6416,88.0,23
2023-01-05,quinta-feira,3,PH UBAJARA,IFCO,6424,25.0,10
2023-01-05,quinta-feira,3,TREB. MINAS,HB,NAO_INFORMADO,281.0,20
2023-01-05,quinta-feira,3,TREB. MINAS,IFCO,6416,507.0,19
2023-01-05,quinta-feira,3,TREB. MINAS,IFCO,6424,2.0,1
2023-01-05,quinta-feira,3,TREB. MINAS,IFCO,NAO_INFORMADO,10.0,1
2023-01-06,sexta-feira,4,F. TAQUARIVAI,IFCO,6416,831.0,4
2023-01-06,sexta-feira,4,F. TAQUARIVAI,IFCO,6424,260.0,3
2023-01-06,sexta-feira,4,TREB. MINAS,IFCO,6416,818.0,54
2023-01-06,sexta-feira,4,TREB. MINAS,IFCO,6424,49.0,3
2023-01-06,sexta-feira,4,TREB. MINAS,IFCO,NAO_INFORMADO,8.0,2
2023-01-07,sábado,5,F. TAQUARIVAI,HB,623,690.0,2
2023-01-07,sábado,5,F. TAQUARIVAI,IFCO,6416,898.0,4
2023-01-07,sábado,5,PH SUL (PF),IFCO,6424,640.0,1
2023-01-07,sábado,5,PH UBAJARA,IFCO,6416,17.0,1
2023-01-07,sábado,5,TREB. MINAS,HB,NAO_INFORMADO,534.0,8
2023-01-07,sábado,5,TREB. MINAS,IFCO,6416,2019.0,95
2023-01-07,sábado,5,TREB. MINAS,IFCO,6424,395.0,11
2023-01-09,segunda-feira,0,F. TAQUARIVAI,HB,623,690.0,1
2023-01-09,segunda-feira,0,F. TAQUARIVAI,IFCO,6416,606.0,5
2023-01-09,segunda-feira,0,PH UBAJARA,IFCO,6416,492.0,29
2023-01-09,segunda-feira,0,PH UBAJARA,IFCO,6424,444.0,14
2023-01-09,segunda-feira,0,TREB. MINAS,HB,NAO_INFORMADO,85.0,1
2023-01-09,segunda-feira,0,TREB. MINAS,IFCO,6416,733.0,49
2023-01-09,segunda-feira,0,TREB. MINAS,IFCO,6424,80.0,30
2023-01-09,segunda-feira,0,TREB. MINAS,IFCO,NAO_INFORMADO,15.0,1
2023-01-10,terça-feira,1,F. TAQUARIVAI,IFCO,6416,665.0,5
2023-01-10,terça-feira,1,F. TAQUARIVAI,IFCO,6424,400.0,1
2023-01-10,terça-feira,1,PH SUL (PF),HB,623,360.0,1
2023-01-10,terça-feira,1,PH UBAJARA,IFCO,6416,957.0,62
2023-01-10,terça-feira,1,PH UBAJARA,IFCO,6424,258.0,14
2023-01-10,terça-feira,1,PH UBAJARA,IFCO,NAO_INFORMADO,29.0,1
2023-01-10,terça-feira,1,TREB. MINAS,IFCO,6416,534.0,25
2023-01-10,terça-feira,1,TREB. MINAS,IFCO,6424,1.0,1
2023-01-10,terça-feira,1,TREB. MINAS,IFCO,NAO_INFORMADO,10.0,1
2023-01-11,quarta-feira,2,F. TAQUARIVAI,HB,623,690.0,1
2023-01-11,quarta-feira,2,F. TAQUARIVAI,IFCO,6416,561.0,5
2023-01-11,quarta-feira,2,PH CORUMBA (PF),IFCO,6424,48.0,27
2023-01-11,quarta-feira,2,PH UBAJARA,IFCO,6416,1516.0,92
2023-01-11,quarta-feira,2,PH UBAJARA,IFCO,6424,286.0,10
2023-01-11,quarta-feira,2,TREB. MINAS,IFCO,6416,1005.0,96
2023-01-11,quarta-feira,2,TREB. MINAS,IFCO,6424,420.0,31
2023-01-11,quarta-feira,2,TREB. MINAS,IFCO,NAO_INFORMADO,14.0,1
2023-01-12,quinta-feira,3,PH CORUMBA (PF),IFCO,6416,22.0,3
2023-01-12,quinta-feira,3,PH CORUMBA (PF),IFCO,6424,37.0,5
2023-01-12,quinta-feira,3,PH SUL (PF),IFCO,6424,640.0,1
2023-01-12,quinta-feira,3,PH UBAJARA,IFCO,6416,123.0,33
2023-01-12,quinta-feira,3,PH UBAJARA,IFCO,6424,31.0,11
2023-01-12,quinta-feira,3,TREB. MINAS,HB,NAO_INFORMADO,452.0,24
2023-01-12,quinta-feira,3,TREB. MINAS,IFCO,6416,363.0,17
2023-01-12,quinta-feira,3,TREB. MINAS,IFCO,6424,1.0,1
2023-01-12,quinta-feira,3,TREB. MINAS,IFCO,NAO_INFORMADO,14.0,1
2023-01-13,sexta-feira,4,F. TAQUARIVAI,IFCO,6416,727.0,4
2023-01-13,sexta-feira,4,TREB. MINAS,IFCO,6416,566.0,33
2023-01-13,sexta-feira,4,TREB. MINAS,IFCO,6424,2.0,2
2023-01-13,sexta-feira,4,TREB. MINAS,IFCO,NAO_INFORMADO,13.0,2
2023-01-14,sábado,5,F. TAQUARIVAI,IFCO,6416,794.0,4
2023-01-14,sábado,5,PH SUL (PF),IFCO,6424,320.0,1
2023-01-14,sábado,5,TREB. MINAS,HB,NAO_INFORMADO,1200.0,43
2023-01-14,sábado,5,TREB. MINAS,IFCO,6416,887.0,62
2023-01-14,sábado,5,TREB. MINAS,IFCO,6424,835.0,12
2023-01-16,segunda-feira,0,F. TAQUARIVAI,IFCO,6416,650.0,5
2023-01-16,segunda-feira,0,PH SUL (PF),IFCO,6424,320.0,1
2023-01-16,segunda-feira,0,PH UBAJARA,IFCO,6416,693.0,21
2023-01-16,segunda-feira,0,PH UBAJARA,IFCO,6424,45.0,1
2023-01-16,segunda-feira,0,TREB. MINAS,IFCO,6416,1580.0,61
2023-01-16,segunda-feira,0,TREB. MINAS,IFCO,6424,66.0,23
2023-01-16,segunda-feira,0,TREB. MINAS,IFCO,NAO_INFORMADO,14.0,1
2023-01-17,terça-feira,1,F. TAQUARIVAI,IFCO,6416,642.0,6
2023-01-17,terça-feira,1,PH SUL (PF),HB,623,690.0,1
2023-01-17,terça-feira,1,PH SUL (PF),IFCO,6424,320.0,1
2023-01-17,terça-feira,1,PH UBAJARA,IFCO,6416,888.0,63
2023-01-17,terça-feira,1,PH UBAJARA,IFCO,6424,212.0,16
2023-01-17,terça-feira,1,PH UBAJARA,IFCO,NAO_INFORMADO,31.0,1
2023-01-17,terça-feira,1,TREB. MINAS,HB,623,450.0,1
2023-01-17,terça-feira,1,TREB. MINAS,HB,NAO_INFORMADO,270.0,1
2023-01-17,terça-feira,1,TREB. MINAS,IFCO,6416,478.0,27
2023-01-17,terça-feira,1,TREB. MINAS,IFCO,6424,32.0,7
2023-01-17,terça-feira,1,TREB. MINAS,IFCO,NAO_INFORMADO,9.0,1
2023-01-18,quarta-feira,2,F. TAQUARIVAI,IFCO,6416,507.0,6
2023-01-18,quarta-feira,2,PH CORUMBA (PF),IFCO,6424,78.0,26
2023-01-18,quarta-feira,2,PH SUL (PF),HB,623,690.0,2
2023-01-18,quarta-feira,2,PH SUL (PF),IFCO,6424,480.0,2
