data,dia_semana,numero_dia_semana,origem,familia_caixa,modelo_caixa_previsao,metodo_modelo,quantidade_caixas,registros_origem
2023-01-02,segunda-feira,0,F. TAQUARIVAI,IFCO,6416,explícito,537.0,5
2023-01-02,segunda-feira,0,F. TAQUARIVAI,IFCO,6424,explícito,320.0,1
2023-01-02,segunda-feira,0,TREB. CEAGESP,IFCO,6424,explícito,5.0,1
2023-01-02,segunda-feira,0,TREB. MINAS,IFCO,6416,explícito,1147.6666666666667,60
2023-01-02,segunda-feira,0,TREB. MINAS,IFCO,6424,explícito,74.0,54
2023-01-02,segunda-feira,0,TREB. MINAS,IFCO,NAO_INFORMADO,explícito,16.0,1
2023-01-03,terça-feira,1,F. TAQUARIVAI,HB,623,explícito,580.0,2
2023-01-03,terça-feira,1,F. TAQUARIVAI,IFCO,6416,explícito,628.0,5
2023-01-03,terça-feira,1,F. TAQUARIVAI,IFCO,6424,explícito,560.0,2
2023-01-03,terça-feira,1,PH UBAJARA,IFCO,6416,explícito,978.0,77
2023-01-03,terça-feira,1,PH UBAJARA,IFCO,6424,explícito,260.0,20
2023-01-03,terça-feira,1,PH UBAJARA,IFCO,NAO_INFORMADO,explícito,26.0,1
2023-01-03,terça-feira,1,TREB. MINAS,HB,618,rateio_por_capacidade,402.4844647901042,1
2023-01-03,terça-feira,1,TREB. MINAS,HB,623,rateio_por_capacidade,41.51553520989578,1
2023-01-03,terça-feira,1,TREB. MINAS,IFCO,6416,explícito,425.0,20
2023-01-03,terça-feira,1,TREB. MINAS,IFCO,6424,explícito,1.0,1
2023-01-03,terça-feira,1,TREB. MINAS,IFCO,NAO_INFORMADO,explícito,10.0,1
2023-01-04,quarta-feira,2,F. TAQUARIVAI,IFCO,6416,explícito,474.0,5
2023-01-04,quarta-feira,2,F. TAQUARIVAI,IFCO,6424,explícito,960.0,2
2023-01-04,quarta-feira,2,PH CORUMBA (PF),IFCO,6416,explícito,10.0,1
2023-01-04,quarta-feira,2,PH CORUMBA (PF),IFCO,6424,explícito,83.0,31
2023-01-04,quarta-feira,2,PH UBAJARA,IFCO,6416,explícito,682.0,72
2023-01-04,quarta-feira,2,PH UBAJARA,IFCO,6424,explícito,242.0,9
2023-01-04,quarta-feira,2,TREB. MINAS,HB,618,rateio_por_capacidade,457.5673878043238,14
2023-01-04,quarta-feira,2,TREB. MINAS,HB,623,explícito,500.0,1
2023-01-04,quarta-feira,2,TREB. MINAS,HB,623,rateio_por_capacidade,246.43261219567617,18
2023-01-04,quarta-feira,2,TREB. MINAS,HB,NAO_INFORMADO,sem_base_para_rateio,15.0,2
2023-01-04,quarta-feira,2,TREB. MINAS,IFCO,6416,explícito,1563.0,117
2023-01-04,quarta-feira,2,TREB. MINAS,IFCO,6424,explícito,163.0,32
2023-01-04,quarta-feira,2,TREB. MINAS,IFCO,NAO_INFORMADO,explícito,18.0,1
2023-01-05,quinta-feira,3,F. TAQUARIVAI,IFCO,6424,explícito,320.0,1
2023-01-05,quinta-feira,3,PH CORUMBA (PF),IFCO,6416,explícito,11.0,2
2023-01-05,quinta-feira,3,PH CORUMBA (PF),IFCO,6424,explícito,1.0,1
2023-01-05,quinta-feira,3,PH UBAJARA,IFCO,6416,explícito,88.0,23
2023-01-05,quinta-feira,3,PH UBAJARA,IFCO,6424,explícito,25.0,10
2023-01-05,quinta-feira,3,TREB. MINAS,HB,618,rateio_por_capacidade,104.48501354487465,11
2023-01-05,quinta-feira,3,TREB. MINAS,HB,623,rateio_por_capacidade,154.51498645512535,17
2023-01-05,quinta-feira,3,TREB. MINAS,HB,NAO_INFORMADO,sem_base_para_rateio,22.0,1
2023-01-05,quinta-feira,3,TREB. MINAS,IFCO,6416,explícito,507.0,19
2023-01-05,quinta-feira,3,TREB. MINAS,IFCO,6424,explícito,2.0,1
2023-01-05,quinta-feira,3,TREB. MINAS,IFCO,NAO_INFORMADO,explícito,10.0,1
2023-01-06,sexta-feira,4,F. TAQUARIVAI,IFCO,6416,explícito,831.0,4
2023-01-06,sexta-feira,4,F. TAQUARIVAI,IFCO,6424,explícito,260.0,3
2023-01-06,sexta-feira,4,TREB. MINAS,IFCO,6416,explícito,818.0,54
2023-01-06,sexta-feira,4,TREB. MINAS,IFCO,6424,explícito,49.0,3
2023-01-06,sexta-feira,4,TREB. MINAS,IFCO,NAO_INFORMADO,explícito,8.0,2
2023-01-07,sábado,5,F. TAQUARIVAI,HB,623,explícito,690.0,2
2023-01-07,sábado,5,F. TAQUARIVAI,IFCO,6416,explícito,898.0,4
2023-01-07,sábado,5,PH SUL (PF),IFCO,6424,explícito,640.0,1
2023-01-07,sábado,5,PH UBAJARA,IFCO,6416,explícito,17.0,1
2023-01-07,sábado,5,TREB. MINAS,HB,618,rateio_por_capacidade,456.4482711600272,2
2023-01-07,sábado,5,TREB. MINAS,HB,623,rateio_por_capacidade,77.55172883997272,8
2023-01-07,sábado,5,TREB. MINAS,IFCO,6416,explícito,2019.0,95
2023-01-07,sábado,5,TREB. MINAS,IFCO,6424,explícito,395.0,11
2023-01-09,segunda-feira,0,F. TAQUARIVAI,HB,623,explícito,690.0,1
2023-01-09,segunda-feira,0,F. TAQUARIVAI,IFCO,6416,explícito,606.0,5
2023-01-09,segunda-feira,0,PH UBAJARA,IFCO,6416,explícito,492.0,29
2023-01-09,segunda-feira,0,PH UBAJARA,IFCO,6424,explícito,444.0,14
2023-01-09,segunda-feira,0,TREB. MINAS,HB,618,rateio_por_capacidade,77.05220609720463,1
2023-01-09,segunda-feira,0,TREB. MINAS,HB,623,rateio_por_capacidade,7.947793902795363,1
2023-01-09,segunda-feira,0,TREB. MINAS,IFCO,6416,explícito,733.0,49
2023-01-09,segunda-feira,0,TREB. MINAS,IFCO,6424,explícito,80.0,30
2023-01-09,segunda-feira,0,TREB. MINAS,IFCO,NAO_INFORMADO,explícito,15.0,1
2023-01-10,terça-feira,1,F. TAQUARIVAI,IFCO,6416,explícito,665.0,5
2023-01-10,terça-feira,1,F. TAQUARIVAI,IFCO,6424,explícito,400.0,1
2023-01-10,terça-feira,1,PH SUL (PF),HB,623,explícito,360.0,1
2023-01-10,terça-feira,1,PH UBAJARA,IFCO,6416,explícito,957.0,62
2023-01-10,terça-feira,1,PH UBAJARA,IFCO,6424,explícito,258.0,14
2023-01-10,terça-feira,1,PH UBAJARA,IFCO,NAO_INFORMADO,explícito,29.0,1
2023-01-10,terça-feira,1,TREB. MINAS,IFCO,6416,explícito,534.0,25
2023-01-10,terça-feira,1,TREB. MINAS,IFCO,6424,explícito,1.0,1
2023-01-10,terça-feira,1,TREB. MINAS,IFCO,NAO_INFORMADO,explícito,10.0,1
2023-01-11,quarta-feira,2,F. TAQUARIVAI,HB,623,explícito,690.0,1
2023-01-11,quarta-feira,2,F. TAQUARIVAI,IFCO,6416,explícito,561.0,5
2023-01-11,quarta-feira,2,PH CORUMBA (PF),IFCO,6424,explícito,48.0,27
2023-01-11,quarta-feira,2,PH UBAJARA,IFCO,6416,explícito,1516.0,92
2023-01-11,quarta-feira,2,PH UBAJARA,IFCO,6424,explícito,286.0,10
2023-01-11,quarta-feira,2,TREB. MINAS,IFCO,6416,explícito,1005.0,96
2023-01-11,quarta-feira,2,TREB. MINAS,IFCO,6424,explícito,420.0,31
2023-01-11,quarta-feira,2,TREB. MINAS,IFCO,NAO_INFORMADO,explícito,14.0,1
2023-01-12,quinta-feira,3,PH CORUMBA (PF),IFCO,6416,explícito,22.0,3
2023-01-12,quinta-feira,3,PH CORUMBA (PF),IFCO,6424,explícito,37.0,5
2023-01-12,quinta-feira,3,PH SUL (PF),IFCO,6424,explícito,640.0,1
2023-01-12,quinta-feira,3,PH UBAJARA,IFCO,6416,explícito,123.0,33
2023-01-12,quinta-feira,3,PH UBAJARA,IFCO,6424,explícito,31.0,11
2023-01-12,quinta-feira,3,TREB. MINAS,HB,618,rateio_por_capacidade,283.2622556882265,14
2023-01-12,quinta-feira,3,TREB. MINAS,HB,623,rateio_por_capacidade,130.7377443117735,20
2023-01-12,quinta-feira,3,TREB. MINAS,HB,NAO_INFORMADO,sem_base_para_rateio,38.0,2
2023-01-12,quinta-feira,3,TREB. MINAS,IFCO,6416,explícito,363.0,17
2023-01-12,quinta-feira,3,TREB. MINAS,IFCO,6424,explícito,1.0,1
2023-01-12,quinta-feira,3,TREB. MINAS,IFCO,NAO_INFORMADO,explícito,14.0,1
2023-01-13,sexta-feira,4,F. TAQUARIVAI,IFCO,6416,explícito,727.0,4
2023-01-13,sexta-feira,4,TREB. MINAS,IFCO,6416,explícito,566.0,33
2023-01-13,sexta-feira,4,TREB. MINAS,IFCO,6424,explícito,2.0,2
2023-01-13,sexta-feira,4,TREB. MINAS,IFCO,NAO_INFORMADO,explícito,13.0,2
2023-01-14,sábado,5,F. TAQUARIVAI,IFCO,6416,explícito,794.0,4
2023-01-14,sábado,5,PH SUL (PF),IFCO,6424,explícito,320.0,1
2023-01-14,sábado,5,TREB. MINAS,HB,618,rateio_por_capacidade,540.6936975219757,19
2023-01-14,sábado,5,TREB. MINAS,HB,623,rateio_por_capacidade,317.30630247802435,36
2023-01-14,sábado,5,TREB. MINAS,HB,NAO_INFORMADO,sem_base_para_rateio,342.0,4
2023-01-14,sábado,5,TREB. MINAS,IFCO,6416,explícito,887.0,62
2023-01-14,sábado,5,TREB. MINAS,IFCO,6424,explícito,835.0,12
2023-01-16,segunda-feira,0,F. TAQUARIVAI,IFCO,6416,explícito,650.0,5
2023-01-16,segunda-feira,0,PH SUL (PF),IFCO,6424,explícito,320.0,1
2023-01-16,segunda-feira,0,PH UBAJARA,IFCO,6416,explícito,693.0,21
2023-01-16,segunda-feira,0,PH UBAJARA,IFCO,6424,explícito,45.0,1
2023-01-16,segunda-feira,0,TREB. MINAS,IFCO,6416,explícito,1580.0,61
2023-01-16,segunda-feira,0,TREB. MINAS,IFCO,6424,explícito,66.0,23
2023-01-16,segunda-feira,0,TREB. MINAS,IFCO,NAO_INFORMADO,explícito,14.0,1
2023-01-17,terça-feira,1,F. TAQUARIVAI,IFCO,6416,explícito,642.0,6
2023-01-17,terça-feira,1,PH SUL (PF),HB,623,explícito,690.0,1
2023-01-17,terça-feira,1,PH SUL (PF),IFCO,6424,explícito,320.0,1
2023-01-17,terça-feira,1,PH UBAJARA,IFCO,6416,explícito,888.0,63
2023-01-17,terça-feira,1,PH UBAJARA,IFCO,6424,explícito,212.0,16
2023-01-17,terça-feira,1,PH UBAJARA,IFCO,NAO_INFORMADO,explícito,31.0,1
2023-01-17,terça-feira,1,TREB. MINAS,HB,618,rateio_por_capacidade,244.7540664264147,1
2023-01-17,terça-feira,1,TREB. MINAS,HB,623,explícito,450.0,1
