data,dia_semana,numero_dia_semana,origem,familia_caixa,modelo_caixa,quantidade_caixas,fonte_classificacao,desc_embalagem_original,desc_produto_original
2024-05-10,sexta-feira,4,TREB. MINAS,IFCO,6424,0.1,Desc. Embal.,IFCO ALTA ST 6424 C/ 60UN,TOMATE MEL VERMELHO 180GR
2024-05-11,sábado,5,TREB. MINAS,IFCO,6424,0.166666666666667,Desc. Embal.,IFCO ALTA ST 6424 C/ 60UN,TOMATE MEL VERMELHO 180GR
2025-03-01,sábado,5,PH UBAJARA,IFCO,6424,0.5,Desc. Embal.,IFCO ALTA ST 6424 C/ 60UN,TOMATE MEL VERMELHO 180GR
2025-02-11,terça-feira,1,PH UBAJARA,IFCO,6424,0.5,Desc. Embal.,IFCO ALTA ST 6424 C/ 60UN,TOMATE MEL VERMELHO 180GR
2025-02-20,quinta-feira,3,PH UBAJARA,IFCO,6424,0.333333333333333,Desc. Embal.,IFCO ALTA ST 6424 C/ 60UN,TOMATE MEL VERMELHO 180GR
2025-03-08,sábado,5,PH UBAJARA,IFCO,6424,0.0333333333333333,Desc. Embal.,IFCO ALTA ST 6424 C/ 60UN,TOMATE MEL VERMELHO 180GR
2025-04-28,segunda-feira,0,PH UBAJARA,IFCO,6424,0.3,Desc. Embal.,IFCO ALTA ST 6424 C/ 60UN,TOMATE MEL VERMELHO 180GR
2023-01-27,sexta-feira,4,PH UBAJARA,IFCO,6424,13,Desc. Embal.,IFCO ALTA ST 6424 C/ 60UN,TOMATE MEL VERMELHO 180GR
2023-01-18,quarta-feira,2,PH UBAJARA,IFCO,6424,11,Desc. Embal.,IFCO ALTA ST 6424 C/ 60UN,TOMATE MEL VERMELHO 180GR
2023-01-31,terça-feira,1,PH UBAJARA,IFCO,6424,5,Desc. Embal.,IFCO ALTA ST 6424 C/ 60UN,TOMATE MEL VERMELHO 180GR
2023-01-25,quarta-feira,2,PH UBAJARA,IFCO,6424,13,Desc. Embal.,IFCO ALTA ST 6424 C/ 60UN,TOMATE MEL VERMELHO 180GR
2023-02-01,quarta-feira,2,PH UBAJARA,IFCO,6424,10,Desc. Embal.,IFCO ALTA ST 6424 C/ 60UN,TOMATE MEL VERMELHO 180GR
2023-03-22,quarta-feira,2,PH UBAJARA,IFCO,6424,3,Desc. Embal.,IFCO ALTA ST 6424 C/ 60UN,TOMATE MEL VERMELHO 180GR
2023-03-08,quarta-feira,2,PH UBAJARA,IFCO,6424,9,Desc. Embal.,IFCO ALTA ST 6424 C/ 60UN,TOMATE MEL VERMELHO 180GR
2023-03-29,quarta-feira,2,PH UBAJARA,IFCO,6424,3,Desc. Embal.,IFCO ALTA ST 6424 C/ 60UN,TOMATE MEL VERMELHO 180GR
2023-04-19,quarta-feira,2,TREB. MINAS,IFCO,6424,6,Desc. Embal.,IFCO ALTA ST 6424 C/ 60UN,TOMATE MEL VERMELHO 180GR
2023-04-25,terça-feira,1,TREB. MINAS,IFCO,6424,8,Desc. Embal.,IFCO ALTA ST 6424 C/ 60UN,TOMATE MEL VERMELHO 180GR
2023-01-04,quarta-feira,2,PH UBAJARA,IFCO,6424,12,Desc. Embal.,IFCO ALTA ST 6424 C/ 60UN,TOMATE MEL VERMELHO 180GR
2023-04-12,quarta-feira,2,PH UBAJARA,IFCO,6424,1,Desc. Embal.,IFCO ALTA ST 6424 C/ 60UN,TOMATE MEL VERMELHO 180GR
2023-01-11,quarta-feira,2,PH UBAJARA,IFCO,6424,16,Desc. Embal.,IFCO ALTA ST 6424 C/ 60UN,TOMATE MEL VERMELHO 180GR
2023-02-06,segunda-feira,0,PH UBAJARA,IFCO,6424,3,Desc. Embal.,IFCO ALTA ST 6424 C/ 60UN,TOMATE MEL VERMELHO 180GR
2023-02-15,quarta-feira,2,PH UBAJARA,IFCO,6424,9,Desc. Embal.,IFCO ALTA ST 6424 C/ 60UN,TOMATE MEL VERMELHO 180GR
2023-03-15,quarta-feira,2,PH UBAJARA,IFCO,6424,5,Desc. Embal.,IFCO ALTA ST 6424 C/ 60UN,TOMATE MEL VERMELHO 180GR
2023-04-04,terça-feira,1,PH UBAJARA,IFCO,6424,4,Desc. Embal.,IFCO ALTA ST 6424 C/ 60UN,TOMATE MEL VERMELHO 180GR
2023-02-22,quarta-feira,2,PH UBAJARA,IFCO,6424,8,Desc. Embal.,IFCO ALTA ST 6424 C/ 60UN,TOMATE MEL VERMELHO 180GR
2023-01-25,quarta-feira,2,PH UBAJARA,IFCO,6424,22,Desc. Embal.,IFCO ALTA ST 6424 C/ 60UN,TOMATE MEL VERMELHO 180GR
2023-03-01,quarta-feira,2,PH UBAJARA,IFCO,6424,7,Desc. Embal.,IFCO ALTA ST 6424 C/ 60UN,TOMATE MEL VERMELHO 180GR
2023-05-09,terça-feira,1,TREB. MINAS,IFCO,6424,6,Desc. Embal.,IFCO ALTA ST 6424 C/ 60UN,TOMATE MEL VERMELHO 180GR
2023-06-20,terça-feira,1,PH UBAJARA,IFCO,6424,3,Desc. Embal.,IFCO ALTA ST 6424 C/ 60UN,TOMATE MEL VERMELHO 180GR
2023-05-03,quarta-feira,2,TREB. MINAS,IFCO,6424,7,Desc. Embal.,IFCO ALTA ST 6424 C/ 60UN,TOMATE MEL VERMELHO 180GR
